Country,Category,Location,Impact,Units,Reference,Value
Antigua and Barbuda,VOC,N/A for VOC,Agriculture,/metric ton,Air Pollution_VOC_N/A for VOC_Agriculture,7.44
Argentina,PM2.5,Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Urban_Primary Health,"37,529.56"
Argentina,PM2.5,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Peri-Urban_Primary Health,"34,526.60"
Argentina,PM2.5,Rural,Primary Health,/metric ton,Air Pollution_PM2.5_Rural_Primary Health,"8,046.62"
Argentina,PM2.5,Transport,Primary Health,/metric ton,Air Pollution_PM2.5_Transport_Primary Health,"32,211.74"
Argentina,PM2.5,N/A for PM2.5,Visibility,/metric ton,Air Pollution_PM2.5_N/A for PM2.5_Visibility,4.69
Argentina,SOx,Urban,Primary Health,/metric ton,Air Pollution_SOx_Urban_Primary Health,"12,867.20"
Argentina,SOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_SOx_Peri-Urban_Primary Health,"13,309.59"
Argentina,SOx,Rural,Primary Health,/metric ton,Air Pollution_SOx_Rural_Primary Health,"2,922.30"
Argentina,SOx,Transport,Primary Health,/metric ton,Air Pollution_SOx_Transport_Primary Health,"11,082.40"
Argentina,SOx,N/A for SOx,Visibility,/metric ton,Air Pollution_SOx_N/A for SOx_Visibility,25.26
Argentina,NH3,Urban,Primary Health,/metric ton,Air Pollution_NH3_Urban_Primary Health,"11,258.87"
Argentina,NH3,Peri-Urban,Primary Health,/metric ton,Air Pollution_NH3_Peri-Urban_Primary Health,"10,357.98"
Argentina,NH3,Rural,Primary Health,/metric ton,Air Pollution_NH3_Rural_Primary Health,"2,413.99"
Argentina,NH3,Transport,Primary Health,/metric ton,Air Pollution_NH3_Transport_Primary Health,"9,663.52"
Argentina,NH3,N/A for NH3,Visibility,/metric ton,Air Pollution_NH3_N/A for NH3_Visibility,5.88
Argentina,PM10,Urban,Primary Health,/metric ton,Air Pollution_PM10_Urban_Primary Health,245.61
Argentina,PM10,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM10_Peri-Urban_Primary Health,237.55
Argentina,PM10,Rural,Primary Health,/metric ton,Air Pollution_PM10_Rural_Primary Health,52.18
Argentina,PM10,Transport,Primary Health,/metric ton,Air Pollution_PM10_Transport_Primary Health,201.75
Argentina,PM10,N/A for PM10,Visibility,/metric ton,Air Pollution_PM10_N/A for PM10_Visibility,15.52
Argentina,NOx,Urban,Primary Health,/metric ton,Air Pollution_NOx_Urban_Primary Health,"3,790.58"
Argentina,NOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_NOx_Peri-Urban_Primary Health,"3,815.95"
Argentina,NOx,Rural,Primary Health,/metric ton,Air Pollution_NOx_Rural_Primary Health,987.01
Argentina,NOx,Transport,Primary Health,/metric ton,Air Pollution_NOx_Transport_Primary Health,"3,201.06"
Argentina,NOx,N/A for NOx,Agriculture,/metric ton,Air Pollution_NOx_N/A for NOx_Agriculture,14.94
Argentina,NOx,N/A for NOx,Visibility,/metric ton,Air Pollution_NOx_N/A for NOx_Visibility,2.78
Argentina,VOC,N/A for VOC,Secondary Health,/metric ton,Air Pollution_VOC_N/A for VOC_Secondary Health,37.61
Argentina,VOC,N/A for VOC,Visibility,/metric ton,Air Pollution_VOC_N/A for VOC_Visibility,1.90
Argentina,VOC,N/A for VOC,Agriculture,/metric ton,Air Pollution_VOC_N/A for VOC_Agriculture,7.73
Armenia,PM2.5,Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Urban_Primary Health,"37,487.90"
Armenia,PM2.5,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM2.5_Peri-Urban_Primary Health,"33,180.39"
Armenia,PM2.5,Rural,Primary Health,/metric ton,Air Pollution_PM2.5_Rural_Primary Health,"19,340.45"
Armenia,PM2.5,Transport,Primary Health,/metric ton,Air Pollution_PM2.5_Transport_Primary Health,"31,176.62"
Armenia,PM2.5,N/A for PM2.5,Visibility,/metric ton,Air Pollution_PM2.5_N/A for PM2.5_Visibility,5.24
Armenia,SOx,Urban,Primary Health,/metric ton,Air Pollution_SOx_Urban_Primary Health,"12,893.94"
Armenia,SOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_SOx_Peri-Urban_Primary Health,"13,017.72"
Armenia,SOx,Rural,Primary Health,/metric ton,Air Pollution_SOx_Rural_Primary Health,"6,692.40"
Armenia,SOx,Transport,Primary Health,/metric ton,Air Pollution_SOx_Transport_Primary Health,"10,852.88"
Armenia,SOx,N/A for SOx,Visibility,/metric ton,Air Pollution_SOx_N/A for SOx_Visibility,34.73
